Date,Title,URL
26 сентября 2023,Газпром. Шансы на отскок снижаются,https://bcs-express.ru/tehanaliz/gazp/26.09.23
25 сентября 2023,Газпром. Покупатели начинают возвращаться,https://bcs-express.ru/tehanaliz/gazp/25.09.23
22 сентября 2023,Газпром. Растеряли рост за 2 месяца,https://bcs-express.ru/tehanaliz/gazp/22.09.23
21 сентября 2023,Газпром. Есть сигналы к росту,https://bcs-express.ru/tehanaliz/gazp/21.09.23
20 сентября 2023,Газпром. Ушли ниже 170 из-за массовых распродаж,https://bcs-express.ru/tehanaliz/gazp/20.09.23
19 сентября 2023,Газпром. Коррекция еще не закончилась,https://bcs-express.ru/tehanaliz/gazp/19.09.23
18 сентября 2023,Газпром. Будет ли отскок,https://bcs-express.ru/tehanaliz/gazp/18.09.23
15 сентября 2023,Газпром. Бумаги под давлением,https://bcs-express.ru/tehanaliz/gazp/15.09.23
14 сентября 2023,Газпром. Надежды на восстановление не оправдались,https://bcs-express.ru/tehanaliz/gazp/14.09.23
13 сентября 2023,Газпром. Вернулись в растущий тренд,https://bcs-express.ru/tehanaliz/gazp/13.09.23
12 сентября 2023,Газпром. Эффект понедельника не помог,https://bcs-express.ru/tehanaliz/gazp/12.09.23
11 сентября 2023,"Газпром. Три дня падения, назревает отскок",https://bcs-express.ru/tehanaliz/gazp/11.09.23
8 сентября 2023,Газпром. Выкупать просадку может быть рано,https://bcs-express.ru/tehanaliz/gazp/08.09.23
7 сентября 2023,Газпром. Подступиться к 185 не удалось,https://bcs-express.ru/tehanaliz/gazp/07.09.23
6 сентября 2023,Газпром. Где следующие цели,https://bcs-express.ru/tehanaliz/gazp/06.09.23
5 сентября 2023,"Газпром. Преодолели 180, что дальше",https://bcs-express.ru/tehanaliz/gazp/05.09.23
4 сентября 2023,Газпром. Копим силы для нового движения,https://bcs-express.ru/tehanaliz/gazp/04.09.23
1 сентября 2023,Газпром. Поддержка 177 остается в силе,https://bcs-express.ru/tehanaliz/gazp/01.09.23
31 августа 2023,Газпром. Рост без продолжения,https://bcs-express.ru/tehanaliz/gazp/31.08.23
30 августа 2023,Газпром. Надежда на дивиденды,https://bcs-express.ru/tehanaliz/gazp/30.08.23
29 августа 2023,Газпром. Растем вместе с рынком,https://bcs-express.ru/tehanaliz/gazp/29.08.23
28 августа 2023,"Газпром. Новая неделя может стартовать в районе 174,5",https://bcs-express.ru/tehanaliz/gazp/28.08.23
25 августа 2023,Газпром. Отскок в рамках консолидации,https://bcs-express.ru/tehanaliz/gazp/25.08.23
24 августа 2023,Газпром. Покупатели могут активизироваться,https://bcs-express.ru/tehanaliz/gazp/24.08.23
23 августа 2023,Газпром. Нашли поддержку,https://bcs-express.ru/tehanaliz/gazp/23.08.23
22 августа 2023,Газпром. Зона 177–178 руб. не поддалась,https://bcs-express.ru/tehanaliz/gazp/22.08.23
21 августа 2023,Газпром. Покупатели взяли инициативу в свои руки,https://bcs-express.ru/tehanaliz/gazp/21.08.23
18 августа 2023,Газпром. Медведи не могут продавить минимум,https://bcs-express.ru/tehanaliz/gazp/18.08.23
17 августа 2023,Газпром. Зона поддержки уже близко,https://bcs-express.ru/tehanaliz/gazp/17.08.23
16 августа 2023,Газпром. Инициатива за продавцами,https://bcs-express.ru/tehanaliz/gazp/16.08.23
15 августа 2023,Газпром. Растеряли дневной рост,https://bcs-express.ru/tehanaliz/gazp/15.08.23
14 августа 2023,Газпром. Откат от 177 руб.,https://bcs-express.ru/tehanaliz/gazp/14.08.23
11 августа 2023,Газпром. Можем обновить майские максимумы,https://bcs-express.ru/tehanaliz/gazp/11.08.23
10 августа 2023,Газпром. Цены на газ поддержали акции,https://bcs-express.ru/tehanaliz/gazp/10.08.23
9 августа 2023,Газпром. Продавцы все еще сильны,https://bcs-express.ru/tehanaliz/gazp/09.08.23
8 августа 2023,Газпром. Техническая картина ухудшается,https://bcs-express.ru/tehanaliz/gazp/08.08.23
7 августа 2023,Газпром. Восходящий тренд под угрозой,https://bcs-express.ru/tehanaliz/gazp/07.08.23
4 августа 2023,Газпром. На пути к 180 благодаря скачку газа,https://bcs-express.ru/tehanaliz/gazp/04.08.23
3 августа 2023,"Газпром. То вверх, то вниз — куда пойдут акции дальше",https://bcs-express.ru/tehanaliz/gazp/03.08.23
2 августа 2023,Газпром. Удержать позиции не удалось,https://bcs-express.ru/tehanaliz/gazp/02.08.23
1 августа 2023,Газпром. Покупатели не сдаются,https://bcs-express.ru/tehanaliz/gazp/01.08.23
31 июля 2023,Газпром. Цены на газ не дают поднять головы,https://bcs-express.ru/tehanaliz/gazp/31.07.23
28 июля 2023,Газпром. Восходящий тренд в силе,https://bcs-express.ru/tehanaliz/gazp/28.07.23
27 июля 2023,Газпром. Куда теперь могут пойти котировки,https://bcs-express.ru/tehanaliz/gazp/27.07.23
26 июля 2023,Газпром. Рыночный оптимизм не помог,https://bcs-express.ru/tehanaliz/gazp/26.07.23
25 июля 2023,Газпром. Попытки роста встречают сильное сопротивление,https://bcs-express.ru/tehanaliz/gazp/25.07.23
24 июля 2023,Газпром. Отскок был ограничен уровнем 172,https://bcs-express.ru/tehanaliz/gazp/24.07.23
20 июля 2023,Газпром. Удержаться в районе 175 не удалось,https://bcs-express.ru/tehanaliz/gazp/20.07.23
19 июля 2023,Газпром. Догоняем рынок,https://bcs-express.ru/tehanaliz/gazp/19.07.23
18 июля 2023,Газпром. Растем вместе с рынком,https://bcs-express.ru/tehanaliz/gazp/18.07.23
17 июля 2023,Газпром. Восходящий тренд продолжается,https://bcs-express.ru/tehanaliz/gazp/17.07.23
14 июля 2023,Газпром. Ралли завершилось,https://bcs-express.ru/tehanaliz/gazp/14.07.23
13 июля 2023,Газпром. Растем против снижения цен на газ,https://bcs-express.ru/tehanaliz/gazp/13.07.23
